,LocationID,PUcount,DOcount,TOTALcount,zone,borough,X,Y
31,32,0.0,3.0,3.0,Bronxdale,Bronx,-73.8646241408313,40.86445170642521
32,33,8.0,83.0,91.0,Brooklyn Heights,Brooklyn,-73.995328797204,40.6962383270628
33,34,1.0,7.0,8.0,Brooklyn Navy Yard,Brooklyn,-73.96769896867909,40.7025590381029
34,35,0.0,3.0,3.0,Brownsville,Brooklyn,-73.9124814882782,40.66380982261511
35,36,0.0,22.0,22.0,Bushwick North,Brooklyn,-73.91656398027341,40.6990847380764
36,37,1.0,40.0,41.0,Bushwick South,Brooklyn,-73.9259483634522,40.6962674524983
37,38,0.0,3.0,3.0,Cambria Heights,Queens,-73.7355495585459,40.693295570432504
38,39,0.0,5.0,5.0,Canarsie,Brooklyn,-73.899773871952,40.638878929924296
39,40,2.0,32.0,34.0,Carroll Gardens,Brooklyn,-73.9958180819094,40.6785042230919
40,41,26.0,176.0,202.0,Central Harlem,Manhattan,-73.9520653308923,40.8042048286288
41,42,15.0,111.0,126.0,Central Harlem North,Manhattan,-73.9395164693167,40.8210462140976
42,43,133.0,389.0,522.0,Central Park,Manhattan,-73.96557217995941,40.7824597386361
43,44,0.0,0.0,0.0,Charleston/Tottenville,Staten Island,-74.2295465457844,40.527298175003
44,45,18.0,76.0,94.0,Chinatown,Manhattan,-73.9982526213797,40.7130578275841
45,46,0.0,0.0,0.0,City Island,Bronx,-73.7864863118305,40.847499898485495
46,47,0.0,1.0,1.0,Claremont/Bathgate,Bronx,-73.89692914923229,40.845754945371795
47,48,232.0,805.0,1037.0,Clinton East,Manhattan,-73.9898566508315,40.7622367556144
48,49,2.0,46.0,48.0,Clinton Hill,Brooklyn,-73.9649337316477,40.688515875250395
49,50,51.0,350.0,401.0,Clinton West,Manhattan,-73.9938994033218,40.766692374666796
50,51,0.0,3.0,3.0,Co-Op City,Bronx,-73.8304236318969,40.874061550909
51,52,3.0,25.0,28.0,Cobble Hill,Brooklyn,-73.9969224713871,40.6866045417646
52,53,0.0,2.0,2.0,College Point,Queens,-73.84407034588571,40.7819879584294
53,54,1.0,13.0,14.0,Columbia Street,Brooklyn,-74.003092790563,40.6869911475205
54,55,0.0,0.0,0.0,Coney Island,Brooklyn,-73.9904741395563,40.5768996198541
55,56,0.0,11.0,11.0,Corona,Queens,-73.8590533534623,40.7415986155017
56,56,0.0,11.0,11.0,Corona,Queens,-73.853384474855,40.7523160392058
57,58,0.0,0.0,0.0,Country Club,Bronx,-73.8207053822972,40.8414754987567
58,59,0.0,0.0,0.0,Crotona Park,Bronx,-73.8930744338338,40.838859990596795
59,60,0.0,1.0,1.0,Crotona Park East,Bronx,-73.8897822026553,40.83129411878829
60,61,0.0,69.0,69.0,Crown Heights North,Brooklyn,-73.94128202922141,40.6738428461316
